Word Pair: (fish, الوقت)
Model: natural_cbow.model, Similarity: -0.09433934837579727
Model: artificial_sg.model, Similarity: 0.12358233332633972
Model: natural_sg.model, Similarity: 0.18870322406291962

Word Pair: (الأيام, دي)
Model: artificial_cbow.model, Similarity: 0.15371909737586975
Model: natural_cbow.model, Similarity: -0.10802216827869415
Model: artificial_sg.model, Similarity: 0.43062078952789307
Model: natural_sg.model, Similarity: 0.14811478555202484

Word Pair: (say, بسيطة)
Model: artificial_cbow.model, Similarity: 0.11578840762376785
Model: natural_cbow.model, Similarity: -0.04653515666723251
Model: artificial_sg.model, Similarity: 0.08416522294282913
Model: natural_sg.model, Similarity: 0.12603133916854858

Word Pair: (العظيم, دايما)
Model: artificial_cbow.model, Similarity: 0.10582078248262405
Model: natural_cbow.model, Similarity: -0.21237854659557343
Model: artificial_sg.model, Similarity: 0.13465918600559235
Model: natural_sg.model, Similarity: -0.0002374011091887951

Word Pair: (امتحانات, architecture)
Model: artificial_cbow.model, Similarity: 0.08087476342916489
Model: natural_cbow.model, Similarity: -0.03917521610856056
Model: artificial_sg.model, Similarity: 0.23061874508857727
Model: natural_sg.model, Similarity: 0.10316236317157745

Word Pair: (أقعد, الجديد)
Model: artificial_cbow.model, Similarity: 0.06124815344810486
Model: natural_cbow.model, Similarity: -0.026287009939551353
Model: artificial_sg.model, Similarity: 0.17993877828121185
Model: natural_sg.model, Similarity: 0.2351737767457962

Word Pair: (high, الإنجليزية)
Model: artificial_cbow.model, Similarity: 0.1812661737203598
Model: natural_cbow.model, Similarity: 0.41020485758781433
Model: artificial_sg.model, Similarity: 0.17307889461517334
Model: natural_sg.model, Similarity: 0.30408281087875366

Word Pair: (السبت, اليوتيوب)
Model: artificial_cbow.model, Similarity: 0.08521999418735504
Model: natural_cbow.model, Similarity: 0.11361603438854218
Model: artificial_sg.model, Similarity: -0.020408691838383675
Model: natural_sg.model, Similarity: 0.20751816034317017

Word Pair: (app, ماروحتش)
Model: artificial_cbow.model, Similarity: 0.008251961320638657
Model: natural_cbow.model, Similarity: 0.06967843323945999
Model: artificial_sg.model, Similarity: 0.06491579115390778
Model: natural_sg.model, Similarity: 0.21454675495624542

Word Pair: (me, الأسبوع)
Model: artificial_cbow.model, Similarity: -0.004811217542737722
Model: natural_cbow.model, Similarity: -0.19735518097877502
Model: artificial_sg.model, Similarity: 0.04926816746592522
Model: natural_sg.model, Similarity: 0.10046849399805069

Word Pair: (صحابك, go)
Model: artificial_cbow.model, Similarity: -0.034332454204559326
Model: natural_cbow.model, Similarity: -0.1248035579919815
Model: artificial_sg.model, Similarity: 0.15716640651226044
Model: natural_sg.model, Similarity: 0.1774080991744995

Word Pair: (أنها, أخدت)
Model: artificial_cbow.model, Similarity: -0.008337928913533688
Model: natural_cbow.model, Similarity: -0.1023637130856514
Model: artificial_sg.model, Similarity: 0.03441501781344414
Model: natural_sg.model, Similarity: 0.058860354125499725

Word Pair: (europe, الجامعه)
Model: artificial_cbow.model, Similarity: -0.07313626259565353
Model: natural_cbow.model, Similarity: 0.4711759686470032
Model: artificial_sg.model, Similarity: 0.15317203104496002
Model: natural_sg.model, Similarity: 0.29839804768562317

Word Pair: (كلب, غيرت)
Model: artificial_cbow.model, Similarity: -0.03426433354616165
Model: natural_cbow.model, Similarity: 0.0451214574277401
Model: artificial_sg.model, Similarity: 0.2569722831249237
Model: natural_sg.model, Similarity: 0.19485732913017273

Word Pair: (النهار, فإن)
Model: artificial_cbow.model, Similarity: 0.2671946585178375
Model: natural_cbow.model, Similarity: 0.03333864361047745
Model: artificial_sg.model, Similarity: 0.10943382978439331
Model: natural_sg.model, Similarity: 0.3446338176727295

Word Pair: (تقعد, فيش)
Model: artificial_cbow.model, Similarity: 0.08046210557222366
Model: natural_cbow.model, Similarity: 0.24116680026054382
Model: artificial_sg.model, Similarity: 0.19697241485118866
Model: natural_sg.model, Similarity: 0.23175984621047974

Word Pair: (him, شركة)
Model: artificial_cbow.model, Similarity: -0.07566063851118088
Model: natural_cbow.model, Similarity: -0.06098873168230057
Model: artificial_sg.model, Similarity: 0.14980602264404297
Model: natural_sg.model, Similarity: 0.07301649451255798

Word Pair: (great, عبد)
Model: artificial_cbow.model, Similarity: -0.04152589291334152
Model: natural_cbow.model, Similarity: 0.5350792407989502
Model: artificial_sg.model, Similarity: 0.13739962875843048
Model: natural_sg.model, Similarity: 0.42977195978164673

Word Pair: (us, help)
Model: artificial_cbow.model, Similarity: 0.09120707958936691
Model: natural_cbow.model, Similarity: 0.4731939435005188
Model: artificial_sg.model, Similarity: 0.3017561435699463
Model: natural_sg.model, Similarity: 0.394713819026947

Word Pair: (عايز, قهوة)
Model: artificial_cbow.model, Similarity: -0.013747782446444035
Model: natural_cbow.model, Similarity: -0.009856675751507282
Model: artificial_sg.model, Similarity: 0.15501825511455536
Model: natural_sg.model, Similarity: 0.20297761261463165

Word Pair: (him, محتاجة)
Model: artificial_cbow.model, Similarity: -0.1017041951417923
Model: natural_cbow.model, Similarity: 0.25675520300865173
Model: artificial_sg.model, Similarity: 0.05346018075942993
Model: natural_sg.model, Similarity: 0.3504612147808075

Word Pair: (وقتي, بنعمل)
Model: artificial_cbow.model, Similarity: 0.15512911975383759
Model: natural_cbow.model, Similarity: 0.329349547624588
Model: artificial_sg.model, Similarity: 0.1674850881099701
Model: natural_sg.model, Similarity: 0.3689258098602295

Word Pair: (white, خلاني)
Model: artificial_cbow.model, Similarity: 0.10393963754177094
Model: natural_cbow.model, Similarity: 0.255736380815506
Model: artificial_sg.model, Similarity: 0.2416599988937378
Model: natural_sg.model, Similarity: 0.3790929615497589

Word Pair: (هذه, ماما)
Model: artificial_cbow.model, Similarity: 0.021740639582276344
Model: natural_cbow.model, Similarity: -0.2194720357656479
Model: artificial_sg.model, Similarity: 0.12571744620800018
Model: natural_sg.model, Similarity: 0.03253788873553276

Word Pair: (برنامج, بسهولة)
Model: artificial_cbow.model, Similarity: 0.20743359625339508
Model: natural_cbow.model, Similarity: -0.008682440035045147
Model: artificial_sg.model, Similarity: 0.15053191781044006
Model: natural_sg.model, Similarity: 0.21125316619873047

Word Pair: (ينفع, طبيعية)
Model: artificial_cbow.model, Similarity: 0.24437372386455536
Model: natural_cbow.model, Similarity: 0.07913057506084442
Model: artificial_sg.model, Similarity: 0.32718828320503235
Model: natural_sg.model, Similarity: 0.2704429626464844

Word Pair: (be, شاف)
Model: artificial_cbow.model, Similarity: -0.05672519654035568
Model: natural_cbow.model, Similarity: -0.02523435465991497
Model: artificial_sg.model, Similarity: 0.04567398503422737
Model: natural_sg.model, Similarity: 0.1686074584722519

Word Pair: (أقول, الذي)
Model: artificial_cbow.model, Similarity: 0.021489372476935387
Model: natural_cbow.model, Similarity: -0.21936815977096558
Model: artificial_sg.model, Similarity: 0.16919369995594025
Model: natural_sg.model, Similarity: 0.022495504468679428

Word Pair: (ترجع, نبقى)
Model: artificial_cbow.model, Similarity: 0.22453856468200684
Model: natural_cbow.model, Similarity: 0.25638172030448914
Model: artificial_sg.model, Similarity: 0.30822303891181946
Model: natural_sg.model, Similarity: 0.3430182635784149

Word Pair: (سنة, يكمل)
Model: artificial_cbow.model, Similarity: -0.010697970166802406
Model: natural_cbow.model, Similarity: -0.11068955808877945
Model: artificial_sg.model, Similarity: 0.19734951853752136
Model: natural_sg.model, Similarity: 0.22064022719860077

Word Pair: (باستخدام, years)
Model: artificial_cbow.model, Similarity: 0.07962639629840851
Model: natural_cbow.model, Similarity: 0.3985248804092407
Model: artificial_sg.model, Similarity: 0.2800304591655731
Model: natural_sg.model, Similarity: 0.32105666399002075

Word Pair: (بشوف, هندسة)
Model: artificial_cbow.model, Similarity: 0.035913873463869095
Model: natural_cbow.model, Similarity: 0.11584426462650299
Model: artificial_sg.model, Similarity: 0.1068330779671669
Model: natural_sg.model, Similarity: 0.17310796678066254

Word Pair: (شوفت, قصص)
Model: artificial_cbow.model, Similarity: -0.04690452292561531
Model: natural_cbow.model, Similarity: -0.032599035650491714
Model: artificial_sg.model, Similarity: 0.16244620084762573
Model: natural_sg.model, Similarity: 0.13280154764652252

Word Pair: (يوم, حبيته)
Model: artificial_cbow.model, Similarity: -0.10773695260286331
Model: natural_cbow.model, Similarity: -0.0279887355864048
Model: artificial_sg.model, Similarity: 0.1445910632610321
Model: natural_sg.model, Similarity: 0.16505372524261475

Word Pair: (حطيت, much)
Model: artificial_cbow.model, Similarity: -0.16362987458705902
Model: natural_cbow.model, Similarity: -0.034596167504787445
Model: artificial_sg.model, Similarity: 0.12613175809383392
Model: natural_sg.model, Similarity: 0.142710879445076

Word Pair: (fulltime, الوقت)
Model: artificial_cbow.model, Similarity: 0.08288455754518509
Model: natural_cbow.model, Similarity: -0.05375295877456665
Model: artificial_sg.model, Similarity: 0.2095707654953003
Model: natural_sg.model, Similarity: 0.22149737179279327

Word Pair: (calls, care)
Model: artificial_cbow.model, Similarity: 0.1909801959991455
Model: natural_cbow.model, Similarity: 0.1310659795999527
Model: artificial_sg.model, Similarity: 0.48360443115234375
Model: natural_sg.model, Similarity: 0.32597485184669495

Word Pair: (يقدروا, دخلت)
Model: artificial_cbow.model, Similarity: -0.08110615611076355
Model: natural_cbow.model, Similarity: 0.12228943407535553
Model: artificial_sg.model, Similarity: 0.11419312655925751
Model: natural_sg.model, Similarity: 0.2431582510471344

Word Pair: (تكتب, never)
Model: artificial_cbow.model, Similarity: 0.12876735627651215
Model: natural_cbow.model, Similarity: -0.001168873393908143
Model: artificial_sg.model, Similarity: 0.17578695714473724
Model: natural_sg.model, Similarity: 0.04434250667691231

Word Pair: (computer, ينزل)
Model: artificial_cbow.model, Similarity: 0.1513260304927826
Model: natural_cbow.model, Similarity: 0.01731346733868122
Model: artificial_sg.model, Similarity: 0.24403353035449982
Model: natural_sg.model, Similarity: 0.20011289417743683

Word Pair: (أكتر, اشوف)
Model: artificial_cbow.model, Similarity: 0.23985585570335388
Model: natural_cbow.model, Similarity: 0.027914561331272125
Model: artificial_sg.model, Similarity: 0.2157835066318512
Model: natural_sg.model, Similarity: 0.1820986568927765

Word Pair: (هشتغل, deal)
Model: artificial_cbow.model, Similarity: 0.12743477523326874
Model: natural_cbow.model, Similarity: 0.014472872018814087
Model: artificial_sg.model, Similarity: 0.15635304152965546
Model: natural_sg.model, Similarity: 0.24211281538009644

Word Pair: (القديم, كلنا)
Model: artificial_cbow.model, Similarity: -0.02312699519097805
Model: natural_cbow.model, Similarity: 0.06869370490312576
Model: artificial_sg.model, Similarity: 0.08974351733922958
Model: natural_sg.model, Similarity: 0.23993590474128723

Word Pair: (أ, حياتك)
Model: artificial_cbow.model, Similarity: 0.1338939219713211
Model: natural_cbow.model, Similarity: -0.1397915631532669
Model: artificial_sg.model, Similarity: 0.14090679585933685
Model: natural_sg.model, Similarity: 0.12473428249359131

Word Pair: (هاي, بره)
Model: artificial_cbow.model, Similarity: 0.30501651763916016
Model: natural_cbow.model, Similarity: 0.1263866126537323
Model: artificial_sg.model, Similarity: 0.2591571509838104
Model: natural_sg.model, Similarity: 0.17009751498699188

Word Pair: (كلها, بحاول)
Model: artificial_cbow.model, Similarity: 0.01871802657842636
Model: natural_cbow.model, Similarity: 0.09019047021865845
Model: artificial_sg.model, Similarity: 0.09738226979970932
Model: natural_sg.model, Similarity: 0.19361256062984467

Word Pair: (your, يتغير)
Model: artificial_cbow.model, Similarity: 0.11635423451662064
Model: natural_cbow.model, Similarity: 0.11115448921918869
Model: artificial_sg.model, Similarity: 0.13921783864498138
Model: natural_sg.model, Similarity: 0.28339287638664246

Word Pair: (ماكانش, بسيطة)
Model: artificial_cbow.model, Similarity: 0.08930769562721252
Model: natural_cbow.model, Similarity: 0.27723610401153564
Model: artificial_sg.model, Similarity: -0.0010152228642255068
Model: natural_sg.model, Similarity: 0.2765520513057709

Word Pair: (خاص, خلال)
Model: artificial_cbow.model, Similarity: -0.1207238957285881
Model: natural_cbow.model, Similarity: 0.21167398989200592
Model: artificial_sg.model, Similarity: 0.05272413045167923
Model: natural_sg.model, Similarity: 0.12264832854270935

Word Pair: (اني, تحس)
Model: artificial_cbow.model, Similarity: -0.2091922163963318
Model: natural_cbow.model, Similarity: -0.00034741233685053885
Model: artificial_sg.model, Similarity: 0.2859703004360199
Model: natural_sg.model, Similarity: 0.23199701309204102

Word Pair: (أحب, بكتير)
Model: artificial_cbow.model, Similarity: -0.12015198171138763
Model: natural_cbow.model, Similarity: 0.12072239816188812
Model: artificial_sg.model, Similarity: 0.018408138304948807
Model: natural_sg.model, Similarity: 0.29210829734802246

Word Pair: (أدرس, تيجي)
Model: artificial_cbow.model, Similarity: 0.10575369000434875
Model: natural_cbow.model, Similarity: 0.08845902979373932
Model: artificial_sg.model, Similarity: 0.0008084229193627834
Model: natural_sg.model, Similarity: 0.33750519156455994

Word Pair: (وكان, خلاني)
Model: artificial_cbow.model, Similarity: 0.04911225661635399
Model: natural_cbow.model, Similarity: 0.03720032796263695
Model: artificial_sg.model, Similarity: 0.24167519807815552
Model: natural_sg.model, Similarity: 0.06614581495523453

Word Pair: (his, أحسن)
Model: artificial_cbow.model, Similarity: -0.01709967851638794
Model: natural_cbow.model, Similarity: 0.11642775684595108
Model: artificial_sg.model, Similarity: 0.10327338427305222
Model: natural_sg.model, Similarity: 0.10145136713981628

Word Pair: (high, اتغير)
Model: artificial_cbow.model, Similarity: 0.17601720988750458
Model: natural_cbow.model, Similarity: 0.05372033640742302
Model: artificial_sg.model, Similarity: 0.25277280807495117
Model: natural_sg.model, Similarity: 0.2534109055995941

Word Pair: (change, أكتر)
Model: artificial_cbow.model, Similarity: 0.13355110585689545
Model: natural_cbow.model, Similarity: -0.24643145501613617
Model: artificial_sg.model, Similarity: 0.14090298116207123
Model: natural_sg.model, Similarity: 0.03726046904921532

Word Pair: (لدرجة, فينا)
Model: artificial_cbow.model, Similarity: 0.07775112986564636
Model: natural_cbow.model, Similarity: -0.059265248477458954
Model: artificial_sg.model, Similarity: 0.14681389927864075
Model: natural_sg.model, Similarity: 0.19646775722503662

Word Pair: (قال, شاطر)
Model: artificial_cbow.model, Similarity: 0.2523549497127533
Model: natural_cbow.model, Similarity: 0.2980647385120392
Model: artificial_sg.model, Similarity: 0.3115997016429901
Model: natural_sg.model, Similarity: 0.2806240916252136

Word Pair: (طاقة, 6)
Model: artificial_cbow.model, Similarity: -0.020670689642429352
Model: natural_cbow.model, Similarity: 0.4006824791431427
Model: artificial_sg.model, Similarity: 0.0645308643579483
Model: natural_sg.model, Similarity: 0.1496051549911499

Word Pair: (طرق, أن)
Model: artificial_cbow.model, Similarity: 0.09238394349813461
Model: natural_cbow.model, Similarity: 0.012135112658143044
Model: artificial_sg.model, Similarity: 0.20257724821567535
Model: natural_sg.model, Similarity: 0.2911798059940338

Word Pair: (عرفت, بتاعت)
Model: artificial_cbow.model, Similarity: 0.06577172130346298
Model: natural_cbow.model, Similarity: -0.07576265186071396
Model: artificial_sg.model, Similarity: 0.2181273102760315
Model: natural_sg.model, Similarity: 0.2462257742881775

Word Pair: (غريب, search)
Model: artificial_cbow.model, Similarity: 0.002665163017809391
Model: natural_cbow.model, Similarity: -0.2522055208683014
Model: artificial_sg.model, Similarity: 0.050709307193756104
Model: natural_sg.model, Similarity: -0.04368229955434799

Word Pair: (هيبقى, hard)
Model: artificial_cbow.model, Similarity: -0.03837108612060547
Model: natural_cbow.model, Similarity: 0.23858821392059326
Model: artificial_sg.model, Similarity: 0.2215191274881363
Model: natural_sg.model, Similarity: 0.2479272335767746

Word Pair: (خاص, مشروع)
Model: artificial_cbow.model, Similarity: -0.10836343467235565
Model: natural_cbow.model, Similarity: 0.49646449089050293
Model: artificial_sg.model, Similarity: 0.15799042582511902
Model: natural_sg.model, Similarity: 0.30704599618911743

Word Pair: (النص, parttime)
Model: artificial_cbow.model, Similarity: -0.018802911043167114
Model: natural_cbow.model, Similarity: 0.12310682982206345
Model: artificial_sg.model, Similarity: 0.0743492841720581
Model: natural_sg.model, Similarity: 0.15470020473003387

Word Pair: (so, حلوة)
Model: artificial_cbow.model, Similarity: -0.04605694115161896
Model: natural_cbow.model, Similarity: -0.09236091375350952
Model: artificial_sg.model, Similarity: 0.23484201729297638
Model: natural_sg.model, Similarity: 0.13424763083457947

Word Pair: (camp, طبعا)
Model: artificial_cbow.model, Similarity: 0.0792398676276207
Model: natural_cbow.model, Similarity: -0.07606074959039688
Model: artificial_sg.model, Similarity: 0.1450243443250656
Model: natural_sg.model, Similarity: 0.10912331193685532

Word Pair: (مرة, إنك)
Model: artificial_cbow.model, Similarity: 0.0863439291715622
Model: natural_cbow.model, Similarity: 0.022211527451872826
Model: artificial_sg.model, Similarity: 0.12493938952684402
Model: natural_sg.model, Similarity: 0.09533458203077316

Word Pair: (كبيرة, department)
Model: artificial_cbow.model, Similarity: 0.01978379860520363
Model: natural_cbow.model, Similarity: -0.04170496389269829
Model: artificial_sg.model, Similarity: 0.17706042528152466
Model: natural_sg.model, Similarity: 0.15013659000396729

Word Pair: (قالولي, فريق)
Model: artificial_cbow.model, Similarity: -0.19051669538021088
Model: natural_cbow.model, Similarity: -0.095079205930233
Model: artificial_sg.model, Similarity: 0.13036543130874634
Model: natural_sg.model, Similarity: 0.12817983329296112

Word Pair: (أربعة, student)
Model: artificial_cbow.model, Similarity: 0.013189200311899185
Model: natural_cbow.model, Similarity: -0.05252412334084511
Model: artificial_sg.model, Similarity: 0.04905937239527702
Model: natural_sg.model, Similarity: 0.13645532727241516

Word Pair: (الشخص, هنا)
Model: artificial_cbow.model, Similarity: 0.08613148331642151
Model: natural_cbow.model, Similarity: -0.018913233652710915
Model: artificial_sg.model, Similarity: 0.16585512459278107
Model: natural_sg.model, Similarity: 0.10212118178606033

Word Pair: (even, تسمى)
Model: artificial_cbow.model, Similarity: -0.06720758229494095
Model: natural_cbow.model, Similarity: 0.009715620428323746
Model: artificial_sg.model, Similarity: 0.12210214138031006
Model: natural_sg.model, Similarity: 0.22446946799755096

Word Pair: (عايزه, محتاجة)
Model: artificial_cbow.model, Similarity: 0.1507241427898407
Model: natural_cbow.model, Similarity: 0.21662722527980804
Model: artificial_sg.model, Similarity: 0.29424428939819336
Model: natural_sg.model, Similarity: 0.17641635239124298

Word Pair: (عالي, بالمناسبة)
Model: artificial_cbow.model, Similarity: -0.10567419230937958
Model: natural_cbow.model, Similarity: 0.05641999840736389
Model: artificial_sg.model, Similarity: 0.10211941599845886
Model: natural_sg.model, Similarity: 0.23590371012687683

Word Pair: (عارفين, صوت)
Model: artificial_cbow.model, Similarity: 0.051114168018102646
Model: natural_cbow.model, Similarity: 0.16165761649608612
Model: artificial_sg.model, Similarity: 0.12563222646713257
Model: natural_sg.model, Similarity: 0.15783563256263733

Word Pair: (بحس, الشيخ)
Model: artificial_cbow.model, Similarity: -0.029308822005987167
Model: natural_cbow.model, Similarity: -0.09008918702602386
Model: artificial_sg.model, Similarity: 0.05708318203687668
Model: natural_sg.model, Similarity: 0.1161348968744278

Word Pair: (شخص, وفيه)
Model: artificial_cbow.model, Similarity: -0.005380452610552311
Model: natural_cbow.model, Similarity: -0.0397377572953701
Model: artificial_sg.model, Similarity: 0.25456032156944275
Model: natural_sg.model, Similarity: 0.19792872667312622

Word Pair: (تتغير, plan)
Model: artificial_cbow.model, Similarity: -0.13750657439231873
Model: natural_cbow.model, Similarity: -0.18128322064876556
Model: artificial_sg.model, Similarity: 0.0675870031118393
Model: natural_sg.model, Similarity: 0.2304580807685852

Word Pair: (حقيقي, عظيمة)
Model: artificial_cbow.model, Similarity: 0.0006641591899096966
Model: natural_cbow.model, Similarity: 0.30394452810287476
Model: artificial_sg.model, Similarity: 0.082542784512043
Model: natural_sg.model, Similarity: 0.16158446669578552

Word Pair: (فاكرة, نجحت)
Model: artificial_cbow.model, Similarity: 0.1951008290052414
Model: natural_cbow.model, Similarity: 0.22879771888256073
Model: artificial_sg.model, Similarity: 0.13062572479248047
Model: natural_sg.model, Similarity: 0.37552782893180847

Word Pair: (bad, السنة)
Model: artificial_cbow.model, Similarity: -0.06767889112234116
Model: natural_cbow.model, Similarity: 0.08824452757835388
Model: artificial_sg.model, Similarity: -0.03494170680642128
Model: natural_sg.model, Similarity: 0.06553876399993896

Word Pair: (طيارة, ساكن)
Model: artificial_cbow.model, Similarity: 0.02445095032453537
Model: natural_cbow.model, Similarity: -0.05852390453219414
Model: artificial_sg.model, Similarity: 0.204885795712471
Model: natural_sg.model, Similarity: 0.12230074405670166

Word Pair: (قليلة, والله)
Model: artificial_cbow.model, Similarity: 0.0842195376753807
Model: natural_cbow.model, Similarity: 0.2396317422389984
Model: artificial_sg.model, Similarity: 0.12076637148857117
Model: natural_sg.model, Similarity: 0.23267731070518494

Word Pair: (إزاى, أكيد)
Model: artificial_cbow.model, Similarity: 0.04044152423739433
Model: natural_cbow.model, Similarity: 0.03302325680851936
Model: artificial_sg.model, Similarity: 0.05626924708485603
Model: natural_sg.model, Similarity: 0.16341160237789154

Word Pair: (تقدري, الطب)
Model: artificial_cbow.model, Similarity: 0.05199766904115677
Model: natural_cbow.model, Similarity: -0.023979786783456802
Model: artificial_sg.model, Similarity: 0.1343345046043396
Model: natural_sg.model, Similarity: 0.12676942348480225

Word Pair: (إذا, عاوزة)
Model: artificial_cbow.model, Similarity: 0.05859021469950676
Model: natural_cbow.model, Similarity: 0.09619621932506561
Model: artificial_sg.model, Similarity: 0.3687039613723755
Model: natural_sg.model, Similarity: 0.09717738628387451

Word Pair: (instagram, أحمد)
Model: artificial_cbow.model, Similarity: 0.08571130037307739
Model: natural_cbow.model, Similarity: 0.15387625992298126
Model: artificial_sg.model, Similarity: 0.2204725444316864
Model: natural_sg.model, Similarity: 0.21217581629753113

Word Pair: (dont, نسافر)
Model: artificial_cbow.model, Similarity: -0.05272604897618294
Model: natural_cbow.model, Similarity: 0.16317999362945557
Model: artificial_sg.model, Similarity: 0.09689772874116898
Model: natural_sg.model, Similarity: 0.1290249526500702

Word Pair: (work, عليها)
Model: artificial_cbow.model, Similarity: -0.08757487684488297
Model: natural_cbow.model, Similarity: -0.12149831652641296
Model: artificial_sg.model, Similarity: 0.11507240682840347
Model: natural_sg.model, Similarity: 0.06940678507089615

Word Pair: (الأيام, know)
Model: artificial_cbow.model, Similarity: -0.0028456917498260736
Model: natural_cbow.model, Similarity: 0.07842092961072922
Model: artificial_sg.model, Similarity: 0.14647389948368073
Model: natural_sg.model, Similarity: 0.19753578305244446

Word Pair: (بالك, personal)
Model: artificial_cbow.model, Similarity: 0.15273207426071167
Model: natural_cbow.model, Similarity: 0.14274652302265167
Model: artificial_sg.model, Similarity: 0.09416035562753677
Model: natural_sg.model, Similarity: 0.25246885418891907

Word Pair: (productive, وسط)
Model: artificial_cbow.model, Similarity: -0.06042816489934921
Model: natural_cbow.model, Similarity: 0.18621504306793213
Model: artificial_sg.model, Similarity: -0.011525675654411316
Model: natural_sg.model, Similarity: 0.26663070917129517

Word Pair: (علينا, فيديو)
Model: artificial_cbow.model, Similarity: 0.022933200001716614
Model: natural_cbow.model, Similarity: 0.24655669927597046
Model: artificial_sg.model, Similarity: 0.051110316067934036
Model: natural_sg.model, Similarity: 0.1992533951997757

Word Pair: (يدخل, التاريخ)
Model: artificial_cbow.model, Similarity: -0.05217724293470383
Model: natural_cbow.model, Similarity: 0.17621253430843353
Model: artificial_sg.model, Similarity: 0.16675083339214325
Model: natural_sg.model, Similarity: 0.1776910126209259

Word Pair: (دماغي, اختبار)
Model: artificial_cbow.model, Similarity: 0.035195037722587585
Model: natural_cbow.model, Similarity: 0.0001739775761961937
Model: artificial_sg.model, Similarity: 0.107652448117733
Model: natural_sg.model, Similarity: 0.1618141382932663

Word Pair: (الطريق, برة)
Model: artificial_cbow.model, Similarity: -0.06581207364797592
Model: natural_cbow.model, Similarity: 0.09331496059894562
Model: artificial_sg.model, Similarity: 0.2615969777107239
Model: natural_sg.model, Similarity: 0.16703329980373383

Word Pair: (ذلك, الساعة)
Model: artificial_cbow.model, Similarity: 0.0908595398068428
Model: natural_cbow.model, Similarity: 0.11804857850074768
Model: artificial_sg.model, Similarity: 0.15888294577598572
Model: natural_sg.model, Similarity: 0.24017678201198578

Word Pair: (أعرف, وانا)
Model: artificial_cbow.model, Similarity: -0.14680686593055725
Model: natural_cbow.model, Similarity: 0.09728077054023743
Model: artificial_sg.model, Similarity: 0.008417442440986633
Model: natural_sg.model, Similarity: 0.23017117381095886

Word Pair: (ستة, definitely)
Model: artificial_cbow.model, Similarity: -0.03172873705625534
Model: natural_cbow.model, Similarity: 0.37179526686668396
Model: artificial_sg.model, Similarity: 0.041374821215867996
Model: natural_sg.model, Similarity: 0.28824713826179504

Word Pair: (دراستك, عليه)
Model: artificial_cbow.model, Similarity: -0.028513778001070023
Model: natural_cbow.model, Similarity: -0.007336721755564213
Model: artificial_sg.model, Similarity: 0.15068919956684113
Model: natural_sg.model, Similarity: 0.22006145119667053

Word Pair: (الكتابة, بفضل)
Model: artificial_cbow.model, Similarity: -0.09018005430698395
Model: natural_cbow.model, Similarity: 0.11633523553609848
Model: artificial_sg.model, Similarity: 0.15938018262386322
Model: natural_sg.model, Similarity: 0.16372954845428467

Word Pair: (عند, الأغاني)
Model: artificial_cbow.model, Similarity: -0.07379588484764099
